timestamp,type,passagerId,busId,ligne,arret,montant,methodePaiement
1737532800000,ENTREE_SYSTEME,P0001,,,,,
1737532800000,ENTREE_SYSTEME,P0002,,,,,
1737532800000,ENTREE_SYSTEME,P0003,,,,,
1737532800000,ENTREE_SYSTEME,P0004,,,,,
1737532800000,ENTREE_SYSTEME,P0005,,,,,
1737532800000,ENTREE_SYSTEME,P0006,,,,,
1737532800000,ENTREE_SYSTEME,P0007,,,,,
1737532800000,ENTREE_SYSTEME,P0008,,,,,
1737532800000,ENTREE_SYSTEME,P0009,,,,,
1737532800000,ENTREE_SYSTEME,P0010,,,,,
1737532800000,ENTREE_SYSTEME,P0011,,,,,
1737532800000,ENTREE_SYSTEME,P0012,,,,,
1737532800000,ENTREE_SYSTEME,P0013,,,,,
1737532800000,ENTREE_SYSTEME,P0014,,,,,
1737532800000,ENTREE_SYSTEME,P0015,,,,,
1737532800000,ENTREE_SYSTEME,P0016,,,,,
1737532800000,ENTREE_SYSTEME,P0017,,,,,
1737532800000,ENTREE_SYSTEME,P0018,,,,,
1737532800000,ENTREE_SYSTEME,P0019,,,,,
1737532800000,ENTREE_SYSTEME,P0020,,,,,
1737532800000,ENTREE_SYSTEME,P0021,,,,,
1737532800000,ENTREE_SYSTEME,P0022,,,,,
1737532800000,ENTREE_SYSTEME,P0023,,,,,
1737532800000,ENTREE_SYSTEME,P0024,,,,,
1737532800000,ENTREE_SYSTEME,P0025,,,,,
1737532800000,ENTREE_SYSTEME,P0026,,,,,
1737532800000,ENTREE_SYSTEME,P0027,,,,,
1737532800000,ENTREE_SYSTEME,P0028,,,,,
1737532800000,ENTREE_SYSTEME,P0029,,,,,
1737532800000,ENTREE_SYSTEME,P0030,,,,,
1737532800000,ENTREE_SYSTEME,P0031,,,,,
1737532800000,ENTREE_SYSTEME,P0032,,,,,
1737532800000,ENTREE_SYSTEME,P0033,,,,,
1737532800000,ENTREE_SYSTEME,P0034,,,,,
1737532800000,ENTREE_SYSTEME,P0035,,,,,
1737532800000,ENTREE_SYSTEME,P0036,,,,,
1737532800000,ENTREE_SYSTEME,P0037,,,,,
1737532800000,ENTREE_SYSTEME,P0038,,,,,
1737532800000,ENTREE_SYSTEME,P0039,,,,,
1737532800000,ENTREE_SYSTEME,P0040,,,,,
1737532800000,ENTREE_SYSTEME,P0041,,,,,
1737532800000,ENTREE_SYSTEME,P0042,,,,,
1737532800000,ENTREE_SYSTEME,P0043,,,,,
1737532800000,ENTREE_SYSTEME,P0044,,,,,
1737532800000,ENTREE_SYSTEME,P0045,,,,,
1737532800000,ENTREE_SYSTEME,P0046,,,,,
1737532800000,ENTREE_SYSTEME,P0047,,,,,
1737532800000,ENTREE_SYSTEME,P0048,,,,,
1737532800000,ENTREE_SYSTEME,P0049,,,,,
1737532800000,ENTREE_SYSTEME,P0050,,,,,
1737532801000,PAIEMENT,P0001,,,,2.50,CARTE
1737532801000,PAIEMENT,P0002,,,,2.50,CARTE
1737532801000,PAIEMENT,P0003,,,,2.50,CARTE
1737532801000,PAIEMENT,P0004,,,,2.50,CARTE
1737532801000,PAIEMENT,P0005,,,,2.50,CARTE
1737532801000,PAIEMENT,P0006,,,,2.50,CARTE
1737532801000,PAIEMENT,P0007,,,,2.50,CARTE
1737532801000,PAIEMENT,P0008,,,,2.50,CARTE
1737532801000,PAIEMENT,P0009,,,,2.50,CARTE
1737532801000,PAIEMENT,P0010,,,,2.50,CARTE
1737532801000,PAIEMENT,P0011,,,,2.50,CARTE
1737532801000,PAIEMENT,P0012,,,,2.50,CARTE
1737532801000,PAIEMENT,P0013,,,,2.50,CARTE
1737532801000,PAIEMENT,P0014,,,,2.50,CARTE
1737532801000,PAIEMENT,P0015,,,,2.50,CARTE
1737532801000,PAIEMENT,P0016,,,,2.50,CARTE
1737532801000,PAIEMENT,P0017,,,,2.50,CARTE
1737532801000,PAIEMENT,P0018,,,,2.50,CARTE
1737532801000,PAIEMENT,P0019,,,,2.50,CARTE
1737532801000,PAIEMENT,P0020,,,,2.50,CARTE
1737532801000,PAIEMENT,P0021,,,,2.50,CARTE
1737532801000,PAIEMENT,P0022,,,,2.50,CARTE
1737532801000,PAIEMENT,P0023,,,,2.50,CARTE
1737532801000,PAIEMENT,P0024,,,,2.50,CARTE
1737532801000,PAIEMENT,P0025,,,,2.50,CARTE
1737532801000,PAIEMENT,P0026,,,,2.50,CARTE
1737532801000,PAIEMENT,P0027,,,,2.50,CARTE
1737532801000,PAIEMENT,P0028,,,,2.50,CARTE
1737532801000,PAIEMENT,P0029,,,,2.50,CARTE
1737532801000,PAIEMENT,P0030,,,,2.50,CARTE
1737532801000,PAIEMENT,P0031,,,,2.50,CARTE
1737532801000,PAIEMENT,P0032,,,,2.50,CARTE
1737532801000,PAIEMENT,P0033,,,,2.50,CARTE
1737532801000,PAIEMENT,P0034,,,,2.50,CARTE
1737532801000,PAIEMENT,P0035,,,,2.50,CARTE
1737532801000,PAIEMENT,P0036,,,,2.50,CARTE
1737532801000,PAIEMENT,P0037,,,,2.50,CARTE
1737532801000,PAIEMENT,P0038,,,,2.50,CARTE
1737532801000,PAIEMENT,P0039,,,,2.50,CARTE
1737532801000,PAIEMENT,P0040,,,,2.50,CARTE
1737532801000,PAIEMENT,P0041,,,,2.50,CARTE
1737532801000,PAIEMENT,P0042,,,,2.50,CARTE
1737532801000,PAIEMENT,P0043,,,,2.50,CARTE
1737532801000,PAIEMENT,P0044,,,,2.50,CARTE
1737532801000,PAIEMENT,P0045,,,,2.50,CARTE
1737532801000,PAIEMENT,P0046,,,,2.50,CARTE
1737532801000,PAIEMENT,P0047,,,,2.50,CARTE
1737532801000,PAIEMENT,P0048,,,,2.50,CARTE
1737532801000,PAIEMENT,P0049,,,,2.50,CARTE
1737532801000,PAIEMENT,P0050,,,,2.50,CARTE
1737532805000,PASSAGER_MONTE,P0001,B021,Ligne03,Rock-Forest,,
1737532805000,PASSAGER_MONTE,P0002,B022,Ligne03,Rock-Forest,,
1737532805000,PASSAGER_MONTE,P0003,B023,Ligne03,Rock-Forest,,
1737532805000,PASSAGER_MONTE,P0004,B024,Ligne03,Rock-Forest,,
1737532805000,PASSAGER_MONTE,P0005,B025,Ligne03,Rock-Forest,,
1737532805000,PASSAGER_MONTE,P0006,B021,Ligne03,Rock-Forest,,
1737532805000,PASSAGER_MONTE,P0007,B022,Ligne03,Rock-Forest,,
